unit,unitLabel,quant,quantLabel
http://www.ontology-of-units-of-measure.org/resource/om-2/decimetre,decimetre,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/decametre,decametre,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/hectometre,hectometre,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/kilometre,kilometre,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/megametre,megametre,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/gigametre,gigametre,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/micron,micron,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/mil-Length,mil (length),http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/mile-Statute,mile (statute),http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/mile-USSurvey,mile (US survey),http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/nauticalMile-International,nautical mile (international),http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/pica-ATA,pica (ATA),http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/pica-Postscript,pica (Postscript),http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/pica-TeX,pica (TeX),http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/point-ATA,point (ATA),http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/point-Didot,point (Didot),http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/point-Postscript,point (Postscript),http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/point-TeX,point (TeX),http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/rod-US,rod (US),http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/yard-International,yard (international),http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/angstrom,ångström,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/attometre,attometre,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/femtometre,femtometre,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/picometre,picometre,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/nanometre,nanometre,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/astronomicalUnit,astronomical unit,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/lightYear,light year,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/terametre,terametre,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/petametre,petametre,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/exametre,exametre,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/parsec,parsec,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/megaparsec,megaparsec,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/solarRadius,solar radius,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/gigaparsec,gigaparsec,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/kiloparsec,kiloparsec,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,width
http://www.ontology-of-units-of-measure.org/resource/om-2/chain,chain,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/cicero,cicero,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/fathom-USSurvey,fathom (US survey),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/fermi,fermi,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/foot-International,foot (international),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/foot-USSurvey,foot (US survey),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/furlong-International,furlong (international),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/inch-International,inch (international),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/metre,metre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/micrometre,micrometre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/millimetre,millimetre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/centimetre,centimetre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/decimetre,decimetre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/decametre,decametre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/hectometre,hectometre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/kilometre,kilometre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/megametre,megametre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/gigametre,gigametre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/micron,micron,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/mil-Length,mil (length),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/mile-Statute,mile (statute),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/mile-USSurvey,mile (US survey),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/nauticalMile-International,nautical mile (international),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/pica-ATA,pica (ATA),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/pica-Postscript,pica (Postscript),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/pica-TeX,pica (TeX),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/point-ATA,point (ATA),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/point-Didot,point (Didot),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/point-Postscript,point (Postscript),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/point-TeX,point (TeX),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/rod-US,rod (US),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/yard-International,yard (international),http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/angstrom,ångström,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/attometre,attometre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/femtometre,femtometre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/picometre,picometre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/nanometre,nanometre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/astronomicalUnit,astronomical unit,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/lightYear,light year,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/terametre,terametre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/petametre,petametre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/exametre,exametre,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/parsec,parsec,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/megaparsec,megaparsec,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/solarRadius,solar radius,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/gigaparsec,gigaparsec,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/kiloparsec,kiloparsec,http://www.ontology-of-units-of-measure.org/resource/om-2/Radius,radius
http://www.ontology-of-units-of-measure.org/resource/om-2/chain,chain,http://www.ontology-of-units-of-measure.org/resource/om-2/Diameter,diameter
http://www.ontology-of-units-of-measure.org/resource/om-2/cicero,cicero,http://www.ontology-of-units-of-measure.org/resource/om-2/Diameter,diameter
http://www.ontology-of-units-of-measure.org/resource/om-2/fathom-USSurvey,fathom (US survey),http://www.ontology-of-units-of-measure.org/resource/om-2/Diameter,diameter
http://www.ontology-of-units-of-measure.org/resource/om-2/fermi,fermi,http://www.ontology-of-units-of-measure.org/resource/om-2/Diameter,diameter
http://www.ontology-of-units-of-measure.org/resource/om-2/foot-International,foot (international),http://www.ontology-of-units-of-measure.org/resource/om-2/Diameter,diameter
http://www.ontology-of-units-of-measure.org/resource/om-2/foot-USSurvey,foot (US survey),http://www.ontology-of-units-of-measure.org/resource/om-2/Diameter,diameter
http://www.ontology-of-units-of-measure.org/resource/om-2/furlong-International,furlong (international),http://www.ontology-of-units-of-measure.org/resource/om-2/Diameter,diameter
http://www.ontology-of-units-of-measure.org/resource/om-2/inch-International,inch (international),http://www.ontology-of-units-of-measure.org/resource/om-2/Diameter,diameter
